Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,46.730000,47.750000,46.439999,47.689999,46.606926,185500
2016-11-15,47.919998,49.189999,47.480000,48.840000,47.730808,212900
2016-11-16,48.700001,48.700001,47.599998,48.290001,47.193302,224600
2016-11-17,48.450001,49.250000,48.209999,48.259998,47.163979,224900
2016-11-18,48.369999,48.889999,47.810001,48.349998,47.251934,188400
2016-11-21,48.360001,49.150002,48.080002,48.590000,47.486488,235600
2016-11-22,49.070000,49.070000,48.009998,48.779999,47.672169,112000
2016-11-23,48.619999,48.700001,47.060001,47.599998,46.518970,157800
2016-11-25,47.360001,48.430000,47.060001,47.720001,46.636250,52600
2016-11-28,47.500000,47.770000,46.900002,46.939999,45.873959,143100
2016-11-29,46.980000,47.810001,46.980000,47.669998,46.587383,92500
2016-11-30,47.660000,48.230000,46.490002,47.639999,46.558060,167200
2016-12-01,47.389999,48.660000,47.340000,47.709999,46.626472,196900
2016-12-02,47.869999,48.340000,47.470001,48.099998,47.007614,169300
2016-12-05,47.599998,48.419998,46.759998,48.139999,47.046707,276700
2016-12-06,47.950001,48.477001,47.430000,47.560001,46.479881,201700
2016-12-07,47.349998,48.009998,47.130001,47.740002,46.655796,190800
2016-12-08,47.959999,48.049999,47.180000,47.430000,46.352833,210800
2016-12-09,47.270000,47.700001,45.560001,45.639999,44.603485,290600
2016-12-12,45.650002,45.869999,45.049999,45.720001,44.681671,267000
2016-12-13,45.599998,46.230000,45.104000,45.910000,44.867355,152900
2016-12-14,45.919998,46.125000,45.000000,45.090000,44.065979,168400
2016-12-15,45.000000,45.900002,44.490002,44.540001,43.528465,185700
2016-12-16,44.770000,45.880001,44.209999,44.700001,43.684830,539400
2016-12-19,45.000000,46.299999,44.880001,45.840000,44.798943,279800
2016-12-20,45.790001,46.212002,45.599998,45.900002,44.857582,198100
2016-12-21,45.910000,46.750000,45.889999,46.049999,45.004173,287200
2016-12-22,46.009998,46.165001,44.794998,45.240002,44.212570,316400
2016-12-23,45.049999,45.330002,44.310001,44.389999,43.381874,430400
2016-12-27,44.400002,44.599998,42.680000,43.549999,42.560951,735800
2016-12-28,43.299999,43.580002,42.500000,42.599998,41.872894,334000
2016-12-29,42.750000,43.650002,42.080002,42.480000,41.754948,426400
2016-12-30,42.630001,42.959999,42.220001,42.709999,41.981018,372300
2017-01-03,43.000000,43.060001,41.189999,41.410000,40.703209,546900
2017-01-04,41.400002,42.869999,41.000000,42.549999,41.823750,362500
2017-01-05,42.290001,42.724998,41.537998,41.950001,41.233990,473800
2017-01-06,42.410000,42.840000,41.540001,42.130001,41.410923,510200
2017-01-09,42.250000,42.250000,41.009998,41.110001,40.408333,434200
2017-01-10,40.869999,40.869999,39.880001,40.009998,39.327103,557400
2017-01-11,40.009998,40.369999,39.930000,40.090000,39.405739,320500
2017-01-12,40.310001,40.310001,39.840000,39.910000,39.228809,275800
2017-01-13,39.939999,40.049999,39.599998,39.799999,39.120686,288600
2017-01-17,39.900002,43.119999,39.900002,42.810001,42.079315,746200
2017-01-18,42.950001,44.040001,42.750000,42.880001,42.148117,499800
2017-01-19,42.939999,43.580002,42.084999,42.160000,41.440411,367800
2017-01-20,42.189999,42.730000,42.189999,42.349998,41.627163,306900
2017-01-23,42.529999,42.740002,42.125999,42.650002,41.922047,289100
2017-01-24,42.529999,43.605000,42.400002,43.250000,42.511803,298500
2017-01-25,43.360001,43.840000,43.125000,43.689999,42.944290,263300
2017-01-26,43.509998,44.230000,43.310001,44.029999,43.278488,416800
2017-01-27,44.009998,44.110001,42.090000,42.480000,41.754948,531000
2017-01-30,42.410000,42.555000,40.265999,40.869999,40.172424,994500
2017-01-31,41.139999,41.139999,40.168999,40.799999,40.103619,632200
2017-02-01,41.070000,41.470001,40.349998,40.779999,40.083958,472000
2017-02-02,41.000000,41.900002,40.500000,41.869999,41.155354,398200
2017-02-03,42.080002,43.689999,42.029999,43.509998,42.767365,285800
2017-02-06,43.410000,43.459999,42.130001,42.509998,41.784431,490700
2017-02-07,42.459999,42.759998,41.740002,41.750000,41.037407,335100
2017-02-08,41.770000,41.849998,41.090000,41.750000,41.037407,358600
2017-02-09,41.900002,43.299999,41.759998,42.480000,41.754948,387600
2017-02-10,43.000000,44.709999,42.980000,44.490002,43.730640,993900
2017-02-13,44.439999,44.730000,43.959999,44.610001,43.848591,438000
2017-02-14,44.480000,44.930000,44.224998,44.389999,43.632343,293000
2017-02-15,44.189999,44.514999,43.650002,44.490002,43.730640,197000
2017-02-16,44.560001,45.169998,44.549999,44.869999,44.104153,292100
2017-02-17,44.880001,45.360001,44.634998,45.320000,44.546471,610600
2017-02-21,45.360001,45.689999,45.025002,45.509998,44.733227,385400
2017-02-22,45.509998,46.060001,45.279999,46.040001,45.254185,267100
2017-02-23,46.360001,46.419998,45.776001,46.310001,45.519577,288800
2017-02-24,46.130001,47.279999,45.514999,47.220001,46.414043,426400
2017-02-27,47.150002,47.560001,46.779999,47.310001,46.502506,351300
2017-02-28,47.209999,47.330002,46.450001,46.480000,45.686668,531600
2017-03-01,47.520000,48.560001,46.279999,46.389999,45.598209,529700
2017-03-02,46.130001,46.130001,44.669998,45.540001,44.762718,655400
2017-03-03,45.520000,46.029999,45.029999,45.639999,44.861012,126400
2017-03-06,45.450001,45.450001,44.740002,45.180000,44.408859,235100
2017-03-07,45.020000,45.639999,44.790001,45.580002,44.802036,312400
2017-03-08,45.599998,45.639999,45.080002,45.389999,44.615280,329400
2017-03-09,45.529999,45.950001,45.180000,45.200001,44.428520,398900
2017-03-10,45.470001,45.560001,44.450001,44.840000,44.074665,407300
2017-03-13,44.759998,44.759998,43.549999,44.459999,43.701153,379000
2017-03-14,44.540001,44.740002,44.320000,44.549999,43.789612,205800
2017-03-15,44.599998,45.040001,44.240002,44.750000,43.986202,208800
2017-03-16,44.650002,44.924999,44.310001,44.630001,43.868252,221500
2017-03-17,44.610001,44.939999,44.060001,44.419998,43.661831,371100
2017-03-20,44.410000,44.660000,43.950001,43.980000,43.229343,301500
2017-03-21,43.959999,44.264999,43.430000,43.549999,42.806683,274000
2017-03-22,43.250000,43.410000,41.910000,42.630001,41.902386,682000
2017-03-23,42.630001,42.645000,42.029999,42.259998,41.538704,320900
2017-03-24,42.270000,43.980000,42.270000,43.509998,42.767365,284900
2017-03-27,43.500000,43.689999,42.849998,43.040001,42.305389,152800
2017-03-28,43.000000,43.150002,42.369999,42.790001,42.059658,445900
2017-03-29,42.770000,43.860001,42.500000,42.619999,42.138752,542100
2017-03-30,42.750000,42.910000,42.040001,42.759998,42.277172,466300
2017-03-31,42.689999,43.419998,42.529999,43.150002,42.662769,586200
2017-04-03,43.270000,43.599998,42.560001,42.560001,42.079433,390500
2017-04-04,42.500000,42.799999,42.290001,42.419998,41.941010,312700
2017-04-05,42.430000,42.759998,41.980000,42.150002,41.674061,372300
2017-04-06,42.080002,42.430000,42.000000,42.139999,41.664173,380100
2017-04-07,42.189999,42.509998,42.029999,42.080002,41.604851,339200
2017-04-10,42.099998,42.700001,42.000000,42.270000,41.792706,291000
2017-04-11,42.270000,43.189999,42.180000,42.910000,42.425480,336600
2017-04-12,42.930000,43.660000,42.900002,43.259998,42.771523,243200
2017-04-13,43.500000,43.680000,42.560001,42.950001,42.465027,216600
2017-04-17,42.790001,43.264999,42.330002,42.799999,42.316719,291800
2017-04-18,42.540001,43.040001,42.500000,42.860001,42.376045,172300
