Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,55.000000,55.000000,52.500000,52.799999,51.423256,25282591
2016-11-08,52.700001,54.000000,52.700001,53.500000,52.105007,9174758
2016-11-09,53.650002,53.650002,50.849998,51.799999,50.449333,16056154
2016-11-10,52.450001,53.000000,52.400002,52.900002,51.520653,6892237
2016-11-11,52.400002,52.650002,51.599998,52.349998,50.984993,6200852
2016-11-14,51.849998,52.099998,51.250000,51.250000,49.913673,7037285
2016-11-15,51.000000,51.900002,51.000000,51.200001,49.864979,5196217
2016-11-16,51.000000,51.500000,50.700001,50.700001,49.378017,5442549
2016-11-17,50.599998,50.900002,50.099998,50.900002,49.572800,7331570
2016-11-18,50.500000,50.849998,50.250000,50.750000,49.426712,5390175
2016-11-21,50.750000,51.400002,50.400002,50.750000,49.426712,3301783
2016-11-22,51.049999,51.950001,51.000000,51.700001,50.351940,4813028
2016-11-23,52.000000,52.099998,51.549999,51.900002,50.546726,3453783
2016-11-24,51.500000,51.750000,51.099998,51.500000,50.157154,1650244
2016-11-25,51.099998,51.700001,51.049999,51.200001,49.864979,3215472
2016-11-28,50.799999,51.900002,50.799999,51.500000,50.157154,4686011
2016-11-29,51.650002,51.950001,51.349998,51.950001,50.595425,5550875
2016-11-30,51.950001,53.099998,51.599998,53.099998,51.715435,7702052
2016-12-01,53.000000,53.000000,52.200001,52.599998,51.228474,6643126
2016-12-02,52.400002,52.400002,51.650002,51.650002,50.303246,3919900
2016-12-05,52.299999,52.299999,50.099998,51.000000,49.670193,11276946
2016-12-06,51.000000,51.150002,50.450001,50.700001,49.378017,9576725
2016-12-07,50.950001,51.299999,50.700001,51.049999,49.718887,18678944
2016-12-08,51.700001,52.150002,51.549999,52.000000,50.644115,20539701
2016-12-09,52.349998,53.099998,51.900002,52.950001,51.569347,12162600
2016-12-12,52.650002,53.000000,51.000000,51.299999,49.962368,9632662
2016-12-13,50.950001,51.450001,50.549999,51.400002,50.059765,4666154
2016-12-14,51.299999,51.849998,51.150002,51.500000,50.157154,4630360
2016-12-15,50.500000,50.650002,50.000000,50.250000,48.939747,6989502
2016-12-16,50.750000,50.750000,50.000000,50.349998,49.037140,6145727
2016-12-19,50.049999,50.400002,49.500000,49.700001,48.404087,4867107
